ax,ay,az,gx,gy,gz,label
4652,17544,7132,-9117,-19685,-6268,caminar
3908,14340,10004,-5790,-23289,-7209,caminar
4792,14452,7732,-7726,-22232,-6546,caminar
2888,11648,9200,-7967,-21535,-7548,caminar
2748,11864,8000,-7784,-21329,-8325,caminar
3448,13308,6584,-8125,-16674,-7086,caminar
4756,16100,6144,-6205,-14048,-6526,caminar
3864,16788,7204,-5874,-11769,-5180,caminar
3796,15144,6476,-5707,-10328,-6111,caminar
3888,12632,6256,-3600,-9723,-6413,caminar
4224,14292,5264,-728,-9845,-11619,caminar
5156,14768,4520,-3336,-6902,-7013,caminar
3300,14324,2916,1113,-4081,-7625,caminar
2380,14272,5764,5216,-4830,-9030,caminar
1928,19308,6316,2724,-854,-6674,caminar
436,15572,7908,42,-1935,-2495,caminar
-932,16224,5948,773,-7714,-6780,caminar
-4496,12404,3968,917,3708,-1837,caminar
-944,16272,3444,2328,-6375,-8311,caminar
-2052,15876,4784,3039,-1590,-3182,caminar
-1760,16632,3228,1901,73,-146,caminar
-2676,14944,3772,3024,683,-561,caminar
-880,16232,1820,1471,1476,1239,caminar
-956,14948,2748,2553,44,974,caminar
844,15428,2940,-603,2038,2331,caminar
1024,14152,3488,-161,-428,2427,caminar
1428,14424,2556,-1968,-1253,2417,caminar
1008,15596,2792,-1758,-2186,3403,caminar
24,16908,4400,-3558,-3511,2090,caminar
-1344,18456,5492,-2907,-4378,1784,caminar
-1760,17812,7300,-2901,-5111,-1157,caminar
1404,19476,5320,-48,-4975,-2046,caminar
348,13180,3496,-132,-1968,1655,caminar
1112,13412,3224,1971,-844,-402,caminar
1344,13804,5748,1764,1356,-452,caminar
2060,14372,6084,639,1916,-780,caminar
1728,13220,6244,434,-311,-1343,caminar
2884,13984,5248,-402,-1260,-1764,caminar
2364,14148,5104,-1500,-1555,-1462,caminar
3388,14108,3920,-649,-3356,-4702,caminar
2828,11088,5492,-1196,-7707,-4942,caminar
2848,16800,6136,-2214,-4459,-3542,caminar
188,16236,5460,-1477,-7262,-6211,caminar
-1628,18628,3868,-44,-6144,-5412,caminar
-2100,21340,5544,827,-4284,-4479,caminar
-2212,20772,6824,1112,-8862,-1245,caminar
-2156,16508,5732,2105,-9282,-19,caminar
-3820,14700,4412,161,-7308,4017,caminar
-2844,12748,7712,3703,-4302,4571,caminar
-884,13100,3208,1902,42,2813,caminar
572,12808,1980,2075,-3799,3336,caminar
1700,14656,1116,1905,-1196,3037,caminar
1872,16244,1672,2654,-2994,4651,caminar
1892,16720,-404,2697,-2831,4712,caminar
564,16368,428,2813,-2786,2975,caminar
2524,19196,-252,2604,-1110,3672,caminar
1844,17864,3744,1521,-601,521,caminar
5236,21212,3704,1471,-710,565,caminar
5764,14264,3044,1365,-1000,3658,caminar
7280,12436,3308,2821,-5824,-1491,caminar
5932,11036,1908,-101,-4478,0,caminar
7064,15196,1036,73,-4459,-1724,caminar
3800,13252,60,-730,-4261,-291,caminar
3084,13188,-576,-1074,-5101,-2173,caminar
2892,13964,-1860,-543,-2927,-1117,caminar
2576,13212,-1484,-780,-1319,-3530,caminar
3092,16628,324,-3773,876,-5951,caminar
2228,17520,1076,-2586,2524,-4624,caminar
2060,21112,3192,-529,4887,-2196,caminar
